		"2023-05-06 2023-05-12"	"2023-05-06 2023-05-12"	"2023-05-06 2023-05-12"
00:10		49.4	10.5	39
00:20		43.7	8.6	39
00:30		35.8	9.3	39
00:40		47.3	11.2	39
00:50		67.6	13.0	39
01:00		71.6	16.9	39
01:10		72.9	17.0	39
01:20		78.8	13.1	39
01:30		64.1	16.4	39
01:40		52.8	11.6	39
01:50		69.3	15.9	39
02:00		56.1	14.0	39
02:10		55.1	14.0	39
02:20		58.5	10.9	39
02:30		37.9	8.5	39
02:40		43.7	12.3	39
02:50		47.9	10.7	39
03:00		41.3	9.0	39
03:10		47.3	15.1	39
03:20		47.5	13.0	39
03:30		36.3	9.5	39
03:40		43.5	12.1	39
03:50		47.4	18.0	39
04:00		32.6	9.9	39
04:10		56.3	18.2	39
04:20		44.3	9.5	39
04:30		79.3	21.3	39
04:40		68.5	16.9	39
04:50		86.2	21.6	39
05:00		78.7	22.3	39
05:10		77.5	13.4	39
05:20		60.4	12.9	39
05:30		95.9	20.9	39
05:40		72.3	14.6	39
05:50		42.9	12.3	39
06:00		114.0	22.8	39
06:10		98.8	21.5	39
06:20		67.2	21.4	39
06:30		56.8	18.1	39
06:40		30.1	10.6	39
06:50		23.6	9.5	39
07:00		33.0	13.1	39
07:10		21.4	13.4	39
07:20		17.5	7.8	39
07:30		14.9	7.5	39
07:40		17.6	9.2	39
07:50		10.1	4.5	39
08:00		23.4	10.2	39
08:10		15.4	8.8	39
08:20		10.1	6.0	39
08:30		18.8	9.6	39
08:40		10.3	3.9	39
08:50		15.8	7.5	39
09:00		7.6	2.9	39
09:10		10.9	4.5	39
09:20		4.4	1.6	39
09:30		23.0	8.0	36
09:40		30.6	10.7	36
09:50		23.7	8.1	36
10:00		37.9	11.5	36
10:10		56.6	13.0	36
10:20		28.5	7.9	36
10:30		20.2	6.7	36
10:40		23.5	9.3	36
10:50		26.0	7.2	36
11:00		23.5	10.8	36
11:10		8.9	3.9	33
11:20		7.9	4.9	33
11:30		10.6	4.5	33
11:40		10.0	5.2	33
11:50		9.7	4.8	33
12:00		9.9	4.6	33
12:10		8.9	4.1	33
12:20		6.2	2.9	33
12:30		20.4	9.9	36
12:40		22.2	10.1	36
12:50		8.7	5.4	36
13:00		13.4	6.0	36
13:10		11.6	6.2	36
13:20		18.7	12.2	36
13:30		5.5	3.5	30
13:40		13.4	12.1	30
13:50		5.0	3.3	36
14:00		9.7	4.5	36
14:10		2.7	1.5	36
14:20		1.1	0.8	36
14:30		12.9	7.7	36
14:40		4.3	1.9	36
14:50		3.6	2.2	36
15:00		17.6	7.7	36
15:10		14.2	4.4	36
15:20		12.4	4.1	36
15:30		1.7	0.6	36
15:40		7.4	2.7	36
15:50		12.8	4.9	36
16:00		8.0	3.5	36
16:10		6.8	2.8	36
16:20		23.7	10.7	36
16:30		11.6	4.5	36
16:40		9.2	3.9	36
16:50		9.5	4.1	36
17:00		16.5	10.1	36
17:10		2.0	0.8	36
17:20		3.4	1.5	36
17:30		15.4	4.7	36
17:40		10.7	2.8	36
17:50		9.1	2.6	36
18:00		7.7	2.5	36
18:10		13.8	3.4	36
18:20		17.2	5.7	36
18:30		32.0	8.0	36
18:40		22.9	6.2	36
18:50		33.3	11.1	36
19:00		20.4	5.4	36
19:10		28.5	6.8	36
19:20		22.2	5.8	36
19:30		36.2	8.1	36
19:40		32.9	6.5	36
19:50		39.3	10.6	36
20:00		46.5	10.2	36
20:10		38.4	8.3	36
20:20		49.9	9.8	36
20:30		58.9	9.5	36
20:40		83.2	16.8	36
20:50		63.2	9.2	36
21:00		40.9	9.4	36
21:10		49.0	10.4	36
21:20		56.9	14.8	36
21:30		51.2	11.5	36
21:40		43.4	8.9	36
21:50		47.1	19.8	36
22:00		30.9	8.5	36
22:10		29.9	14.1	36
22:20		13.8	3.4	36
22:30		30.4	7.2	36
22:40		38.6	11.1	36
22:50		48.7	11.2	36
23:00		76.6	19.1	36
23:10		52.1	13.8	36
23:20		42.1	11.5	36
23:30		51.7	13.2	36
23:40		33.0	10.5	36
23:50		40.3	8.2	36
24:00		27.6	9.0	36
