05:50-06:00	06:00-06:10	17:50-18:00	18:00-18:10
			
0	13	28	2
100	8	8	0
91	138	24	0
38	126	0	0
25	137	0	0
9	63	0	0
81	258		
			
			
			
			
116	36	0	0
1	142	0	0
371	311	45	68
44	145	0	0
30	37	0	28
35	170	17	22
3	113		
			
			
			
			
0	147	0	0
281	432	0	0
96	44	0	0
14	528	0	7
137	53	0	0
47	458	0	0
0	477		
			
			
			
			
			
			
			
		0	27
2	27	49	13
1	38	49	10
0	13	0	0
0	0	25	0
1	84	0	3
17	10		
			
			
			
			
		125	63
12	45	0	3
13	2	5	3
0	1	9	40
0	0	0	0
0	11	0	2
0	19		
			
			
			
			
		0	0
0	61	0	25
0	75	37	20
7	122	0	0
31	45	4	8
35	52	0	0
36	4		
